Files already downloaded and verified
Files already downloaded and verified
Epoch 1/200 | Acc: 16.93%
Epoch 2/200 | Acc: 18.95%
Epoch 3/200 | Acc: 26.38%
Epoch 4/200 | Acc: 28.66%
Epoch 5/200 | Acc: 31.78%
Epoch 6/200 | Acc: 33.41%
Epoch 7/200 | Acc: 33.61%
Epoch 8/200 | Acc: 36.71%
Epoch 9/200 | Acc: 36.89%
Epoch 10/200 | Acc: 38.13%
Epoch 11/200 | Acc: 37.35%
Epoch 12/200 | Acc: 39.22%
Epoch 13/200 | Acc: 38.91%
Epoch 14/200 | Acc: 38.87%
Epoch 15/200 | Acc: 39.88%
Epoch 16/200 | Acc: 42.07%
Epoch 17/200 | Acc: 40.39%
Epoch 18/200 | Acc: 42.79%
Epoch 19/200 | Acc: 42.49%
Epoch 20/200 | Acc: 42.34%
Epoch 21/200 | Acc: 41.16%
Epoch 22/200 | Acc: 44.81%
Epoch 23/200 | Acc: 42.54%
Epoch 24/200 | Acc: 43.61%
Epoch 25/200 | Acc: 42.87%
Epoch 26/200 | Acc: 43.85%
Epoch 27/200 | Acc: 44.03%
Epoch 28/200 | Acc: 46.66%
Epoch 29/200 | Acc: 43.53%
Epoch 30/200 | Acc: 45.02%
Epoch 31/200 | Acc: 44.52%
Epoch 32/200 | Acc: 43.21%
Epoch 33/200 | Acc: 47.04%
Epoch 34/200 | Acc: 46.05%
Epoch 35/200 | Acc: 45.72%
Epoch 36/200 | Acc: 46.20%
Epoch 37/200 | Acc: 45.77%
Epoch 38/200 | Acc: 46.78%
Epoch 39/200 | Acc: 47.93%
Epoch 40/200 | Acc: 46.22%
Epoch 41/200 | Acc: 46.35%
Epoch 42/200 | Acc: 45.37%
Epoch 43/200 | Acc: 46.27%
Epoch 44/200 | Acc: 45.67%
Epoch 45/200 | Acc: 46.84%
Epoch 46/200 | Acc: 46.89%
Epoch 47/200 | Acc: 46.72%
Epoch 48/200 | Acc: 48.11%
Epoch 49/200 | Acc: 48.60%
Epoch 50/200 | Acc: 46.57%
Epoch 51/200 | Acc: 46.54%
Epoch 52/200 | Acc: 49.08%
Epoch 53/200 | Acc: 46.68%
Epoch 54/200 | Acc: 48.70%
Epoch 55/200 | Acc: 46.96%
Epoch 56/200 | Acc: 48.30%
Epoch 57/200 | Acc: 45.06%
Epoch 58/200 | Acc: 47.66%
Epoch 59/200 | Acc: 47.55%
Epoch 60/200 | Acc: 49.40%
Epoch 61/200 | Acc: 50.12%
Epoch 62/200 | Acc: 48.67%
Epoch 63/200 | Acc: 50.21%
Epoch 64/200 | Acc: 49.97%
Epoch 65/200 | Acc: 50.85%
Epoch 66/200 | Acc: 50.12%
Epoch 67/200 | Acc: 49.46%
Epoch 68/200 | Acc: 49.39%
Epoch 69/200 | Acc: 49.86%
Epoch 70/200 | Acc: 50.57%
Epoch 71/200 | Acc: 47.97%
Epoch 72/200 | Acc: 49.25%
Epoch 73/200 | Acc: 49.19%
Epoch 74/200 | Acc: 47.59%
Epoch 75/200 | Acc: 48.86%
Epoch 76/200 | Acc: 49.90%
Epoch 77/200 | Acc: 48.10%
Epoch 78/200 | Acc: 48.73%
Epoch 79/200 | Acc: 48.49%
Epoch 80/200 | Acc: 49.47%
Epoch 81/200 | Acc: 47.11%
Epoch 82/200 | Acc: 49.26%
Epoch 83/200 | Acc: 51.23%
Epoch 84/200 | Acc: 50.62%
Epoch 85/200 | Acc: 52.02%
Epoch 86/200 | Acc: 51.29%
Epoch 87/200 | Acc: 51.38%
Epoch 88/200 | Acc: 51.18%
Epoch 89/200 | Acc: 51.75%
Epoch 90/200 | Acc: 51.31%
Epoch 91/200 | Acc: 50.64%
Epoch 92/200 | Acc: 50.99%
Epoch 93/200 | Acc: 51.67%
Epoch 94/200 | Acc: 50.48%
Epoch 95/200 | Acc: 51.86%
Epoch 96/200 | Acc: 51.33%
Epoch 97/200 | Acc: 52.25%
Epoch 98/200 | Acc: 53.15%
Epoch 99/200 | Acc: 51.88%
Epoch 100/200 | Acc: 53.40%
Epoch 101/200 | Acc: 52.32%
Epoch 102/200 | Acc: 51.72%
Epoch 103/200 | Acc: 52.73%
Epoch 104/200 | Acc: 53.00%
Epoch 105/200 | Acc: 52.04%
Epoch 106/200 | Acc: 54.04%
Epoch 107/200 | Acc: 53.22%
Epoch 108/200 | Acc: 52.36%
Epoch 109/200 | Acc: 52.72%
Epoch 110/200 | Acc: 53.07%
Epoch 111/200 | Acc: 52.55%
Epoch 112/200 | Acc: 53.53%
Epoch 113/200 | Acc: 51.39%
Epoch 114/200 | Acc: 53.60%
Epoch 115/200 | Acc: 54.95%
Epoch 116/200 | Acc: 53.79%
Epoch 117/200 | Acc: 54.18%
Epoch 118/200 | Acc: 52.96%
Epoch 119/200 | Acc: 54.31%
Epoch 120/200 | Acc: 53.58%
Epoch 121/200 | Acc: 53.45%
Epoch 122/200 | Acc: 55.06%
Epoch 123/200 | Acc: 54.01%
Epoch 124/200 | Acc: 54.28%
Epoch 125/200 | Acc: 54.04%
Epoch 126/200 | Acc: 54.30%
Epoch 127/200 | Acc: 54.28%
Epoch 128/200 | Acc: 54.36%
Epoch 129/200 | Acc: 54.67%
Epoch 130/200 | Acc: 55.28%
Epoch 131/200 | Acc: 53.85%
Epoch 132/200 | Acc: 55.30%
Epoch 133/200 | Acc: 54.67%
Epoch 134/200 | Acc: 54.12%
Epoch 135/200 | Acc: 55.16%
Epoch 136/200 | Acc: 55.82%
Epoch 137/200 | Acc: 56.03%
Epoch 138/200 | Acc: 55.49%
Epoch 139/200 | Acc: 55.09%
Epoch 140/200 | Acc: 55.30%
Epoch 141/200 | Acc: 55.17%
Epoch 142/200 | Acc: 55.77%
Epoch 143/200 | Acc: 55.31%
Epoch 144/200 | Acc: 55.55%
Epoch 145/200 | Acc: 56.20%
Epoch 146/200 | Acc: 56.91%
Epoch 147/200 | Acc: 55.59%
Epoch 148/200 | Acc: 56.58%
Epoch 149/200 | Acc: 56.45%
Epoch 150/200 | Acc: 56.88%
Epoch 151/200 | Acc: 57.50%
Epoch 152/200 | Acc: 57.07%
Epoch 153/200 | Acc: 57.36%
Epoch 154/200 | Acc: 57.14%
Epoch 155/200 | Acc: 57.42%
Epoch 156/200 | Acc: 57.48%
Epoch 157/200 | Acc: 57.81%
Epoch 158/200 | Acc: 58.22%
Epoch 159/200 | Acc: 57.97%
Epoch 160/200 | Acc: 58.27%
Epoch 161/200 | Acc: 58.23%
Epoch 162/200 | Acc: 58.76%
Epoch 163/200 | Acc: 59.03%
Epoch 164/200 | Acc: 59.30%
Epoch 165/200 | Acc: 59.05%
Epoch 166/200 | Acc: 60.04%
Epoch 167/200 | Acc: 59.87%
Epoch 168/200 | Acc: 59.64%
Epoch 169/200 | Acc: 59.82%
Epoch 170/200 | Acc: 60.13%
Epoch 171/200 | Acc: 59.91%
Epoch 172/200 | Acc: 60.42%
Epoch 173/200 | Acc: 60.23%
Epoch 174/200 | Acc: 60.70%
Epoch 175/200 | Acc: 60.55%
Epoch 176/200 | Acc: 60.74%
Epoch 177/200 | Acc: 61.00%
Epoch 178/200 | Acc: 60.69%
Epoch 179/200 | Acc: 60.96%
Epoch 180/200 | Acc: 60.83%
Epoch 181/200 | Acc: 61.09%
Epoch 182/200 | Acc: 61.13%
Epoch 183/200 | Acc: 60.96%
Epoch 184/200 | Acc: 61.20%
Epoch 185/200 | Acc: 61.37%
Epoch 186/200 | Acc: 61.31%
Epoch 187/200 | Acc: 61.20%
Epoch 188/200 | Acc: 61.36%
Epoch 189/200 | Acc: 61.24%
Epoch 190/200 | Acc: 61.23%
Epoch 191/200 | Acc: 61.29%
Epoch 192/200 | Acc: 61.22%
Epoch 193/200 | Acc: 61.23%
Epoch 194/200 | Acc: 61.22%
Epoch 195/200 | Acc: 61.32%
Epoch 196/200 | Acc: 61.46%
Epoch 197/200 | Acc: 61.27%
Epoch 198/200 | Acc: 61.20%
Epoch 199/200 | Acc: 61.24%
Epoch 200/200 | Acc: 61.44%
Model saved: resnet18_cifar100_trained.pth
